Data,Czas,Data,Produkt,ISIN,Opis,Kurs,Zmiana,,Saldo,,Identyfikator zlecenia
28-04-2021,00:00,27-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"0,00",EUR,"7,00",
27-04-2021,00:00,26-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"6,99",
22-04-2021,00:00,21-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"7,00",
16-04-2021,00:00,15-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"7,00",
12-04-2021,00:00,11-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"7,00",
08-04-2021,17:01,07-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 1,1945 przy  0,9794 EUR",,,,EUR,"7,00",
08-04-2021,00:00,07-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"7,00",
07-04-2021,12:05,06-04-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 20,9311 przy 0,9794 EUR",,,,EUR,"7,00",
07-04-2021,08:11,06-04-2021,,,FX Withdrawal,,EUR,"1,17",EUR,"7,00",
07-04-2021,08:11,06-04-2021,,,FX Withdrawal,"4,5935",PLN,"-5,39",PLN,"0,00",
06-04-2021,17:01,06-04-2021,,,Wypłata,,PLN,"-1995,00",PLN,"5,39",
06-04-2021,16:59,06-04-2021,EUR/PLN,,FX Credit,"4,5990",PLN,"2000,39",PLN,"2000,39",
06-04-2021,16:59,06-04-2021,EUR/PLN,,FX Withdrawal,,EUR,"-435,00",EUR,"5,83",
06-04-2021,16:58,06-04-2021,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,"1,1852",USD,"-248,40",USD,"0,00",a7ac0afb-f80f-4e69-ae0e-519e824c170e
06-04-2021,16:58,06-04-2021,MICROSOFT CORPORATION,US5949181045,FX Credit,,EUR,"209,59",EUR,"440,83",a7ac0afb-f80f-4e69-ae0e-519e824c170e
06-04-2021,16:58,06-04-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"231,24",a7ac0afb-f80f-4e69-ae0e-519e824c170e
06-04-2021,16:58,06-04-2021,MICROSOFT CORPORATION,US5949181045,"Sprzedaż 1 MICROSOFT CORPORATION@248,4 USD (US5949181045)",,USD,"248,40",USD,"248,40",a7ac0afb-f80f-4e69-ae0e-519e824c170e
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,"1,1794",USD,"-242,85",USD,"0,00",f330b4b4-99d8-47eb-8583-71cd7fc60d23
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,FX Credit,,EUR,"205,91",EUR,"231,74",f330b4b4-99d8-47eb-8583-71cd7fc60d23
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"25,83",f330b4b4-99d8-47eb-8583-71cd7fc60d23
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,"Sprzedaż 1 MICROSOFT CORPORATION@242,85 USD (US5949181045)",,USD,"242,85",USD,"242,85",f330b4b4-99d8-47eb-8583-71cd7fc60d23
